ng	1	1	1000000	2845668.0	5	0.257168923	6.0	1000000	5000000.0	136	41	126	126	90.0	46
dfo	2	1	1000000	1473185.7	5	0.360345139	13.0	1000000	6000000.0	70	21	65	65	90.0	48
solar	3	1	1000000	141409.52	0	0.0	7.42	1000000	45000.0	6	0	600	600	90.0	63
wind	4	1	1000000	1509794.5	0	0.0	0.0	1000000	1000000.0	35	0	600	600	90.0	18
wind_offshore	5	1	1000000	11596400.0	0	0.0	0.0	1000000	48000000.0	109	0	600	600	90.0	8
hydro	6	1	1000000	941850.0	0	0.0	0.0	1000000	300000000.0	12	0	600	600	90.0	122
coal	7	1	1000000	32237816.0	11	0.475646765	8.0	1000000	44000000.0	301	87	225	225	90.0	2
nuclear	8	1	1000000	135292685.0	2	0.0	8.0	1000000	300000000.0	933	394	600	600	90.0	3
CT	9	0	195525000	4977000.0	5	0.25794054	9.5	30	1000000.0	237	41	237	237	90.0	25
CC	10	0	559248000	15471000.0	2	0.261467932	6.3	30	1000000.0	573	41	573	573	90.0	25
CC-CCS	11	0	810800000	8401496.0	5	0.026234978000000003	7.15	30	1000000.0	400	41	400	400	90.0	25
solar-UPV	12	0	5160000	104520.08	0	0.0	0.0	30	1000000.0	6	0	600	600	90.0	400
wind-new	13	0	31640000	1299125.5	0	0.0	0.0	30	1000000.0	35	0	600	600	90.0	200
wind-offshore-new	14	0	345966000	8423800.0	0	0.0	0.0	30	1000000.0	109	0	600	600	90.0	0
hydro-new	15	0	85212000	893550.0	0	0.0	0.0	100	1000000.0	12	0	600	600	90.0	50
nuclear-new	16	0	2369880000	135292685.0	2	0.0	7.42	60	1000000.0	360	394	90	90	90.0	1
